ts_anchor,ts_target,past_pv,target
2025-03-03 13:45:00+08:00,2025-03-03 14:00:00+08:00,"[25965.334, 13685.333, 30393.666, 32800.332, 28742.666, 22475.666, 20466.666, 34378.332]",37032.332
2025-03-03 14:00:00+08:00,2025-03-03 14:15:00+08:00,"[13685.333, 30393.666, 32800.332, 28742.666, 22475.666, 20466.666, 34378.332, 38502.668]",24180.334
2025-03-03 14:15:00+08:00,2025-03-03 14:30:00+08:00,"[30393.666, 32800.332, 28742.666, 22475.666, 20466.666, 34378.332, 38502.668, 37032.332]",23095.0
2025-03-03 14:30:00+08:00,2025-03-03 14:45:00+08:00,"[32800.332, 28742.666, 22475.666, 20466.666, 34378.332, 38502.668, 37032.332, 24180.334]",29868.334
2025-03-03 14:45:00+08:00,2025-03-03 15:00:00+08:00,"[28742.666, 22475.666, 20466.666, 34378.332, 38502.668, 37032.332, 24180.334, 23095.0]",23927.334
2025-03-03 15:00:00+08:00,2025-03-03 15:15:00+08:00,"[22475.666, 20466.666, 34378.332, 38502.668, 37032.332, 24180.334, 23095.0, 29868.334]",23609.0
2025-03-03 15:15:00+08:00,2025-03-03 15:30:00+08:00,"[20466.666, 34378.332, 38502.668, 37032.332, 24180.334, 23095.0, 29868.334, 23927.334]",16815.334
2025-03-03 15:30:00+08:00,2025-03-03 15:45:00+08:00,"[34378.332, 38502.668, 37032.332, 24180.334, 23095.0, 29868.334, 23927.334, 23609.0]",17243.334
2025-03-03 15:45:00+08:00,2025-03-03 16:00:00+08:00,"[38502.668, 37032.332, 24180.334, 23095.0, 29868.334, 23927.334, 23609.0, 16815.334]",13036.667
2025-03-03 16:00:00+08:00,2025-03-03 16:15:00+08:00,"[37032.332, 24180.334, 23095.0, 29868.334, 23927.334, 23609.0, 16815.334, 17243.334]",8730.333
2025-03-03 16:15:00+08:00,2025-03-03 16:30:00+08:00,"[24180.334, 23095.0, 29868.334, 23927.334, 23609.0, 16815.334, 17243.334, 13036.667]",9372.333
2025-03-03 16:30:00+08:00,2025-03-03 16:45:00+08:00,"[23095.0, 29868.334, 23927.334, 23609.0, 16815.334, 17243.334, 13036.667, 8730.333]",5970.0
2025-03-03 16:45:00+08:00,2025-03-03 17:00:00+08:00,"[29868.334, 23927.334, 23609.0, 16815.334, 17243.334, 13036.667, 8730.333, 9372.333]",3028.6667
2025-03-03 17:00:00+08:00,2025-03-03 17:15:00+08:00,"[23927.334, 23609.0, 16815.334, 17243.334, 13036.667, 8730.333, 9372.333, 5970.0]",2419.0
2025-03-03 17:15:00+08:00,2025-03-03 17:30:00+08:00,"[23609.0, 16815.334, 17243.334, 13036.667, 8730.333, 9372.333, 5970.0, 3028.6667]",984.0
2025-03-03 17:30:00+08:00,2025-03-03 17:45:00+08:00,"[16815.334, 17243.334, 13036.667, 8730.333, 9372.333, 5970.0, 3028.6667, 2419.0]",519.0
2025-03-03 17:45:00+08:00,2025-03-03 18:00:00+08:00,"[17243.334, 13036.667, 8730.333, 9372.333, 5970.0, 3028.6667, 2419.0, 984.0]",43.666668
2025-03-03 18:00:00+08:00,2025-03-03 18:15:00+08:00,"[13036.667, 8730.333, 9372.333, 5970.0, 3028.6667, 2419.0, 984.0, 519.0]",49.666668
2025-03-04 08:45:00+08:00,2025-03-04 09:00:00+08:00,"[8.0, 208.66667, 1206.6666, 2340.6667, 5844.0, 7603.3335, 8834.333, 9570.667]",12111.0
2025-03-04 09:00:00+08:00,2025-03-04 09:15:00+08:00,"[208.66667, 1206.6666, 2340.6667, 5844.0, 7603.3335, 8834.333, 9570.667, 8313.0]",18654.334
2025-03-04 09:15:00+08:00,2025-03-04 09:30:00+08:00,"[1206.6666, 2340.6667, 5844.0, 7603.3335, 8834.333, 9570.667, 8313.0, 12111.0]",13639.667
2025-03-04 09:30:00+08:00,2025-03-04 09:45:00+08:00,"[2340.6667, 5844.0, 7603.3335, 8834.333, 9570.667, 8313.0, 12111.0, 18654.334]",8970.333
2025-03-04 09:45:00+08:00,2025-03-04 10:00:00+08:00,"[5844.0, 7603.3335, 8834.333, 9570.667, 8313.0, 12111.0, 18654.334, 13639.667]",10079.333
2025-03-04 10:00:00+08:00,2025-03-04 10:15:00+08:00,"[7603.3335, 8834.333, 9570.667, 8313.0, 12111.0, 18654.334, 13639.667, 8970.333]",7962.3335
2025-03-04 10:15:00+08:00,2025-03-04 10:30:00+08:00,"[8834.333, 9570.667, 8313.0, 12111.0, 18654.334, 13639.667, 8970.333, 10079.333]",7848.3335
2025-03-04 10:30:00+08:00,2025-03-04 10:45:00+08:00,"[9570.667, 8313.0, 12111.0, 18654.334, 13639.667, 8970.333, 10079.333, 7962.3335]",10325.0
2025-03-04 10:45:00+08:00,2025-03-04 11:00:00+08:00,"[8313.0, 12111.0, 18654.334, 13639.667, 8970.333, 10079.333, 7962.3335, 7848.3335]",18439.666
2025-03-04 11:00:00+08:00,2025-03-04 11:15:00+08:00,"[12111.0, 18654.334, 13639.667, 8970.333, 10079.333, 7962.3335, 7848.3335, 10325.0]",22531.666
2025-03-04 11:15:00+08:00,2025-03-04 11:30:00+08:00,"[18654.334, 13639.667, 8970.333, 10079.333, 7962.3335, 7848.3335, 10325.0, 18439.666]",24828.666
2025-03-04 11:30:00+08:00,2025-03-04 11:45:00+08:00,"[13639.667, 8970.333, 10079.333, 7962.3335, 7848.3335, 10325.0, 18439.666, 22531.666]",22956.666
2025-03-04 11:45:00+08:00,2025-03-04 12:00:00+08:00,"[8970.333, 10079.333, 7962.3335, 7848.3335, 10325.0, 18439.666, 22531.666, 24828.666]",14755.667
2025-03-04 12:00:00+08:00,2025-03-04 12:15:00+08:00,"[10079.333, 7962.3335, 7848.3335, 10325.0, 18439.666, 22531.666, 24828.666, 22956.666]",11618.333
2025-03-04 12:15:00+08:00,2025-03-04 12:30:00+08:00,"[7962.3335, 7848.3335, 10325.0, 18439.666, 22531.666, 24828.666, 22956.666, 14755.667]",13982.333
2025-03-04 12:30:00+08:00,2025-03-04 12:45:00+08:00,"[7848.3335, 10325.0, 18439.666, 22531.666, 24828.666, 22956.666, 14755.667, 11618.333]",10211.667
2025-03-04 12:45:00+08:00,2025-03-04 13:00:00+08:00,"[10325.0, 18439.666, 22531.666, 24828.666, 22956.666, 14755.667, 11618.333, 13982.333]",12619.0
2025-03-04 13:00:00+08:00,2025-03-04 13:15:00+08:00,"[18439.666, 22531.666, 24828.666, 22956.666, 14755.667, 11618.333, 13982.333, 10211.667]",14540.333
2025-03-04 13:15:00+08:00,2025-03-04 13:30:00+08:00,"[22531.666, 24828.666, 22956.666, 14755.667, 11618.333, 13982.333, 10211.667, 12619.0]",13272.667
2025-03-04 13:30:00+08:00,2025-03-04 13:45:00+08:00,"[24828.666, 22956.666, 14755.667, 11618.333, 13982.333, 10211.667, 12619.0, 14540.333]",8483.333
2025-03-04 13:45:00+08:00,2025-03-04 14:00:00+08:00,"[22956.666, 14755.667, 11618.333, 13982.333, 10211.667, 12619.0, 14540.333, 13272.667]",3318.3333
2025-03-04 14:00:00+08:00,2025-03-04 14:15:00+08:00,"[14755.667, 11618.333, 13982.333, 10211.667, 12619.0, 14540.333, 13272.667, 8483.333]",5551.3335
2025-03-04 14:15:00+08:00,2025-03-04 14:30:00+08:00,"[11618.333, 13982.333, 10211.667, 12619.0, 14540.333, 13272.667, 8483.333, 3318.3333]",2751.3333
2025-03-04 14:30:00+08:00,2025-03-04 14:45:00+08:00,"[13982.333, 10211.667, 12619.0, 14540.333, 13272.667, 8483.333, 3318.3333, 5551.3335]",2125.0
