date,start_time,end_time,is_clear_sky,pv_clear_sky,image_clear_sky,pv_r2,csi_mae,pv_mae_w,pv_rmse_w,mean_target_csi,min_target_csi,max_target_csi,n_pv_samples,n_image_samples,blue_fraction_mean,blue_fraction_p10,gray_fraction_mean,gray_fraction_p90,bright_white_fraction_mean,mean_saturation,mean_value,notes
2026-02-12,08:00,17:59,False,False,False,0.8386043013671688,0.029310321606377972,1031.5612241667022,1364.5630939077487,0.18164182216364977,0.07430278938002984,0.4414235757575322,35,20,0.03288382312551497,0.0,0.9731722054380667,1.0,0.01866794836583356,0.050803662091493604,0.6364293277263642,auto rejected by SPM daily R2 or image color heuristic
2026-02-13,08:00,17:59,False,False,True,0.9785661500427507,0.03033736709470769,1021.9612425274673,1533.8229027976847,0.6820842362012246,0.440359939035443,0.828404572408567,36,20,0.5164954682779456,0.40239494644328483,0.529362812414172,0.6538615764899753,0.0673853336995331,0.22695611640810967,0.5653841018676757,auto rejected by SPM daily R2 or image color heuristic
2026-02-14,08:00,17:59,True,True,True,0.9935634609900659,0.018484014142040636,696.8646130794406,856.9361181868488,0.6782100961565848,0.43017453619692686,0.7608420527792614,36,20,0.609611370502609,0.5010326833287558,0.43909090909090914,0.5590579511123318,0.052795935182642126,0.26388939619064333,0.5786254733800889,auto clear sky by SPM daily R2 and image color heuristic
2026-02-15,08:00,17:59,False,False,True,0.9256833262314219,0.0421946445059456,1704.2773024653982,3346.0350125096297,0.47773237994902445,0.20297372481429424,0.7079131959298832,36,20,0.379614117000824,0.0,0.6526366382861852,1.0,0.03274924471299094,0.170368221309036,0.6005212426185608,auto rejected by SPM daily R2 or image color heuristic
2026-02-16,08:00,17:59,False,False,True,0.8813996234426331,0.06006360067487439,2259.454351832141,4071.859700635817,0.6148794754192581,0.31247406355184987,0.8521722050868712,36,20,0.49857594067563865,0.15440538313650098,0.5533218895907718,0.9060670145564407,0.058538862949739076,0.21452041529119015,0.5788736999034881,auto rejected by SPM daily R2 or image color heuristic
2026-02-17,08:00,17:59,False,False,False,0.869378627789487,0.033977818501097413,1145.411856447056,1674.0914581977647,0.1452034779660848,0.016915128605236848,0.38961139029873254,33,20,0.004984894259818731,0.0,0.9983534743202416,1.0,0.015170282889316123,0.03785021221265197,0.6309861660003662,auto rejected by SPM daily R2 or image color heuristic
2026-02-18,08:00,17:59,False,False,True,0.9763913242964046,0.034927550003757316,1257.2080016216914,1988.3172422939856,0.5824922157175091,0.2473080249881613,0.7561592363126056,36,20,0.35277670969513863,0.04060148310903598,0.6919994507003571,0.9900878879428728,0.06369129360065914,0.15616360846906902,0.5770755290985108,auto rejected by SPM daily R2 or image color heuristic
2026-02-19,08:00,17:59,False,False,True,0.8978109759774434,0.047091935162695074,1987.8569175801244,3130.742358854928,0.6046355856854514,0.3884306185818731,0.7701622817652765,36,20,0.4345990112606427,0.15287833012908542,0.6109667673716012,0.8979181543531998,0.07153391925295248,0.2008833995088935,0.5706415176391602,auto rejected by SPM daily R2 or image color heuristic
2026-02-20,08:00,17:59,False,False,True,0.7555329180518695,0.05420366215335627,2641.7023206206886,3978.254299861425,0.5507898265054623,0.27228860505357255,0.7295472385668094,36,20,0.3782848118648723,0.12513320516341667,0.663860203240868,0.9113814886020325,0.0745413347981324,0.17368675135076045,0.5724667131900787,auto rejected by SPM daily R2 or image color heuristic
2026-02-21,08:00,17:59,False,False,True,0.5781377639950284,0.09950396764569155,4756.658553248828,6665.655991422452,0.4772159655706528,0.1907650875109295,0.7841272763475982,36,20,0.3681763251853886,0.2324059324361439,0.6774279044218622,0.7964075803350728,0.07271079373798407,0.1656286384910345,0.59957195520401,auto rejected by SPM daily R2 or image color heuristic
